ISLAND DIAMETER REPORT
Generated on: Wed Feb 18 20:36:09 2026
-------------------------------------------------------------------------------------
Island File                    | Size   | Diameter   | Furthest Pair
islands/island_4831.txt        | 14     | 4          | nuncheon <-> pantheons
islands/island_5204.txt        | 14     | 9          | vitality <-> vitalities
islands/island_5380.txt        | 14     | 8          | uprootings <-> uncreating
islands/island_5399.txt        | 14     | 6          | avulse <-> repulsers
islands/island_5447.txt        | 14     | 4          | individualism <-> individualizers
islands/island_5449.txt        | 14     | 4          | thiamin <-> triazines
islands/island_5763.txt        | 14     | 4          | secularizers <-> secularism
islands/island_5980.txt        | 14     | 5          | embox <-> imbosk
islands/island_6203.txt        | 14     | 4          | generalizers <-> generalism
islands/island_6423.txt        | 14     | 5          | eddishes <-> lavisher
islands/island_6473.txt        | 14     | 5          | outkilling <-> outdueling
islands/island_6731.txt        | 14     | 5          | senvy <-> renvois
islands/island_6863.txt        | 14     | 6          | addressors <-> oppressed
islands/island_6931.txt        | 14     | 6          | idealogue <-> ideologist
islands/island_7121.txt        | 14     | 4          | aphorist <-> aphorizers
islands/island_7196.txt        | 14     | 4          | animalizes <-> animatist
islands/island_7284.txt        | 14     | 4          | communalist <-> communalizers
islands/island_7325.txt        | 14     | 5          | supercede <-> supersedures
islands/island_7603.txt        | 14     | 5          | wayfared <-> carfoxes
islands/island_7629.txt        | 14     | 6          | synonymy <-> synonymist
islands/island_7764.txt        | 14     | 6          | preadapt <-> redoubts
islands/island_7773.txt        | 14     | 5          | besaint <-> preprints
islands/island_8171.txt        | 14     | 5          | reemission <-> fissions
islands/island_8192.txt        | 14     | 4          | phosphorism <-> phosphorates
islands/island_8254.txt        | 14     | 4          | epiloguize <-> epilogists
islands/island_8585.txt        | 14     | 11         | expandable <-> expansibly
islands/island_9433.txt        | 14     | 5          | hypostatized <-> hypostases
islands/island_9583.txt        | 14     | 5          | function <-> monitions
islands/island_9675.txt        | 14     | 4          | propagandizers <-> propagandist
islands/island_9707.txt        | 14     | 6          | debauchery <-> debauch
islands/island_9709.txt        | 14     | 4          | mechanizers <-> mechanist
islands/island_10047.txt       | 14     | 4          | particularizers <-> particularism
islands/island_10065.txt       | 14     | 5          | deliration <-> renegations
islands/island_10466.txt       | 14     | 4          | vitalism <-> vitalizers
islands/island_11471.txt       | 14     | 4          | annualized <-> annalists
islands/island_11621.txt       | 14     | 4          | hybridizers <-> hybridism
islands/island_11848.txt       | 14     | 9          | disbarring <-> dispunging
islands/island_11906.txt       | 14     | 4          | idealizers <-> idealist
islands/island_12365.txt       | 14     | 3          | fernticle <-> fernitickles
islands/island_12378.txt       | 14     | 6          | metaplasm <-> metaphrast
islands/island_12670.txt       | 14     | 4          | mythicizers <-> mythicism
islands/island_12826.txt       | 14     | 4          | lionizations <-> iodisation
islands/island_13635.txt       | 14     | 4          | euphemist <-> euphemizers
islands/island_13725.txt       | 14     | 4          | pragmatist <-> pragmatizers
islands/island_13860.txt       | 14     | 5          | pollywig <-> golliwoggs
islands/island_14345.txt       | 14     | 9          | crushingly <-> trailingly
islands/island_14897.txt       | 14     | 6          | tighteners <-> frighteners
islands/island_15092.txt       | 14     | 8          | cripplingly <-> flowingly
islands/island_15723.txt       | 14     | 6          | ketogenesis <-> kainogeneses
islands/island_17636.txt       | 14     | 5          | chupatties <-> chappati
islands/island_18311.txt       | 14     | 4          | legitimist <-> legitimizers
